id,created,modified,desc,measure,available_quantity,bonus,active,new_price,old_price,desc_en,desc_kr,desc_ru,desc_uz,weight,product_type,main
274,2024-07-13 02:08:00.231964+00,2026-01-31 08:28:00.514016+00,"",1,100,0,t,3000,3000,"","","","",0.2,fd2c66ac-6c6b-42be-b995-c049d2fe1018,t
681,2025-10-12 02:56:06.387301+00,2025-10-12 02:56:06.387301+00,"",1,50,0,t,3500,3500,"","","","",0.5,cd5f783c-f6a6-414e-8ea9-593be86612a0,t
66,2024-03-06 04:39:20.248768+00,2025-06-13 08:08:58.707126+00,"",1,50,0,f,5000,5000,"","","","",0.2,3b5ee9a6-0bcc-40ba-b58e-f34e263a95c6,f
300,2024-07-13 06:31:03.443206+00,2026-01-31 09:15:52.855159+00,"",0,550,0,t,7500,8500,"","","","",1,08e26a09-b574-4670-aa41-2816a078d055,t
675,2025-10-12 02:42:49.464313+00,2026-01-27 02:40:24.481553+00,"",1,50,0,f,6000,6000,"","","","",0.2,b9759424-25e4-41c2-9852-d17d7546fd05,t
153,2024-03-18 15:03:20.592197+00,2026-01-28 08:46:34.621002+00,"",1,1000,0,t,2600,2900,"","","","",0.3,e944bb25-6936-470c-af0a-b6f24a4bf65f,t
156,2024-03-18 15:17:14.953891+00,2026-01-28 08:53:09.404847+00,"",1,1000,0,t,2600,2900,"","","","",0.3,70ec160a-8022-4ba5-8322-bf1172acde43,t
682,2025-10-12 02:57:08.758699+00,2025-10-12 02:57:08.758699+00,"",1,50,0,t,1500,1500,"","","","",0.5,20b87904-a6ca-4325-a1d9-b37f9a3ca385,t
279,2024-07-13 02:19:22.348623+00,2026-01-31 08:30:47.311095+00,"",1,48,0,t,4900,5000,"","","","",0.4,20c616e1-afdf-46b3-bb6c-a8e0f577a820,t
329,2024-07-14 03:17:27.766111+00,2026-02-01 05:46:34.106879+00,"",1,790,0,t,10900,11500,"","","","",0.5,c0a76ded-ebc7-4e7a-8a4e-a32434e840cb,t
577,2025-09-08 11:37:33.433673+00,2025-09-08 11:37:33.433673+00,"",3,50,0,t,4000,4000,"","","","",1,635080c6-7651-40fa-af62-1727cba85aff,t
316,2024-07-14 01:21:37.225264+00,2026-01-31 11:34:42.636208+00,"",1,380,0,t,8500,9000,"","","","",0.5,dcf0c84e-b62a-464e-9bf9-8fa97936e5f6,t
345,2024-07-14 04:35:43.767313+00,2026-02-01 06:04:09.035312+00,"",0,1000,0,t,7900,8500,"","","","",1,1e9236df-dd0c-41e6-ba54-677399485409,t
157,2024-03-18 15:21:10.603936+00,2026-01-28 09:00:52.503872+00,"",1,1000,0,t,2600,2900,"","","","",0.3,0546f9d8-649c-4838-96b2-9eb96873693d,t
60,2024-03-05 19:15:39.716678+00,2026-01-25 04:57:12.286328+00,"",3,1000,0,t,4500,4800,"","","","",0.7,2dbadb41-50e4-4948-88a7-6908bb2033c2,t
